"Especie","longitude","latitude"
"AMZ_Alouatta_belzebul",-49.52,-4.47
"AMZ_Alouatta_belzebul",-49.67885874,-4.157882388
"AMZ_Alouatta_belzebul",-47.624508,-7.046298
"AMZ_Alouatta_belzebul",-49.7862,-4.332493
"AMZ_Alouatta_belzebul",-51.178439,-7.721277
"AMZ_Alouatta_belzebul",-51.16902112,-10.24390011
"AMZ_Alouatta_belzebul",-49.48,-4.65
"AMZ_Alouatta_belzebul",-51.70527811,-1.98918079
"AMZ_Alouatta_belzebul",-50.0160697,-0.85321805
"AMZ_Alouatta_belzebul",-49.58333333,-0.03333333
"AMZ_Alouatta_belzebul",-49.63823732,-3.85112555
"AMZ_Alouatta_belzebul",-48.13333333,-0.8
"AMZ_Alouatta_belzebul",-45.66494,-3.961985
"AMZ_Alouatta_belzebul",-49.466667,-4.55
"AMZ_Alouatta_belzebul",-49.566374,-4.477376
"AMZ_Alouatta_belzebul",-48.26273,-5.095075
"AMZ_Alouatta_belzebul",-45.32,-4.03
"AMZ_Alouatta_belzebul",-47.12527095,-1.53777471
"AMZ_Alouatta_belzebul",-49.264179,-4.596287
"AMZ_Alouatta_belzebul",-49.344773,-4.988772
"AMZ_Alouatta_belzebul",-45.65,-3.97
"AMZ_Alouatta_belzebul",-52.19149,-3.333202
"AMZ_Alouatta_belzebul",-49.502171,-4.664659
"AMZ_Alouatta_belzebul",-49.435123,-4.263037
"AMZ_Alouatta_belzebul",-50.82,-1.95
"AMZ_Alouatta_belzebul",-47.519792,-2.426085
"AMZ_Alouatta_belzebul",-47.595198,-7.01805
"AMZ_Alouatta_belzebul",-51.27321127,-10.34194202
"AMZ_Alouatta_belzebul",-49.512791,-4.071339
"AMZ_Alouatta_belzebul",-51.03531427,-9.854086
"AMZ_Alouatta_belzebul",-47.58333333,-2.91666666
"AMZ_Alouatta_belzebul",-51.10342495,-9.910609948
"AMZ_Alouatta_belzebul",-47.4,-1.2
"AMZ_Alouatta_belzebul",-51.11386327,-10.04995623
"AMZ_Alouatta_belzebul",-49.645833,-3.864722
"AMZ_Alouatta_belzebul",-52.351483,-3.62515
"AMZ_Alouatta_belzebul",-49.12,-0.83
"AMZ_Alouatta_belzebul",-48.22,-7.35
"AMZ_Alouatta_belzebul",-47.4,-1.23333333
"AMZ_Alouatta_belzebul",-51.45,-1.75
"AMZ_Alouatta_belzebul",-47.4,-1.23333333
"AMZ_Alouatta_belzebul",-45.663661,-3.969924
"AMZ_Alouatta_belzebul",-50.25,-6.17
"AMZ_Alouatta_belzebul",-47.50942397,-7.367544
"AMZ_Alouatta_belzebul",-47.827541,-7.016038
"AMZ_Alouatta_belzebul",-49.608589,-4.4615
"AMZ_Alouatta_belzebul",-50.43279066,-5.57875939
"AMZ_Alouatta_belzebul",-50.08,-0.6
"AMZ_Alouatta_belzebul",-50.57,-5.77
"AMZ_Alouatta_belzebul",-49.67,-2.82
"AMZ_Alouatta_belzebul",-49.493582,-4.119808
"AMZ_Alouatta_belzebul",-50.48,-1.68
"AMZ_Alouatta_belzebul",-48.16833333,-3.75888888
"AMZ_Alouatta_belzebul",-46.810944,-3.622392
"AMZ_Alouatta_belzebul",-48.16833333,-3.75888888
"AMZ_Alouatta_belzebul",-51,-5.28
"AMZ_Alouatta_belzebul",-47.585933,-7.017531
"AMZ_Alouatta_belzebul",-48.490178,-1.455729
"AMZ_Alouatta_belzebul",-47.78333333,-1.66666666
"AMZ_Alouatta_belzebul",-49.65,-4.03333333
"AMZ_Alouatta_belzebul",-47.586261,-7.016364
"AMZ_Alouatta_belzebul",-49.24115,-5.306837
"AMZ_Alouatta_belzebul",-51.466667,-1.7
"AMZ_Alouatta_belzebul",-51.87163711,-6.63221662
"AMZ_Alouatta_belzebul",-51.63786853,-2.068153
"AMZ_Alouatta_belzebul",-45.25,-5.5
"AMZ_Alouatta_belzebul",-47.766758,-7.051034
"AMZ_Alouatta_belzebul",-49.58333333,-4.26666666
"AMZ_Alouatta_belzebul",-47.623975,-7.080107
"AMZ_Alouatta_belzebul",-47.74988,-7.119489
"AMZ_Alouatta_belzebul",-49.73333333,-3.83333333
"AMZ_Alouatta_belzebul",-50.25,-6.16666666
"AMZ_Alouatta_belzebul",-50.81666666,-1.95
"AMZ_Alouatta_belzebul",-49.405336,-4.455049
"AMZ_Alouatta_belzebul",-49.375581,-4.386197
"AMZ_Alouatta_belzebul",-48.2,-1.96666666
"AMZ_Alouatta_belzebul",-49.6483582,-3.83543927
"AMZ_Alouatta_belzebul",-49.630091,-3.796274
"AMZ_Alouatta_belzebul",-49.91,-0.18
"AMZ_Alouatta_belzebul",-50.845504,-2.530618
"AMZ_Alouatta_belzebul",-49.371448,-4.351896
"AMZ_Alouatta_belzebul",-49.664586,-4.377597
"AMZ_Alouatta_belzebul",-49.377365,-4.264484
"AMZ_Alouatta_belzebul",-50.18,-0.65
"AMZ_Alouatta_belzebul",-45.454984,-4.621559
"AMZ_Alouatta_belzebul",-48.93147206,-2.89245121
"AMZ_Alouatta_belzebul",-49.65361,-3.810233
"AMZ_Alouatta_belzebul",-49.950388,-4.24797
"AMZ_Alouatta_belzebul",-47.766696,-1.688286
"AMZ_Alouatta_belzebul",-47.35,-2.98
"AMZ_Alouatta_belzebul",-49.991286,-0.165325
"AMZ_Alouatta_belzebul",-52.357883,-3.630533
"AMZ_Alouatta_belzebul",-49.406364,-4.944971
"AMZ_Alouatta_belzebul",-46.74861111,-1.87583333
"AMZ_Alouatta_belzebul",-49.64583333,-3.86472222
"AMZ_Alouatta_belzebul",-50.33333333,-3.83333333
"AMZ_Alouatta_belzebul",-50.68,-0.6
"AMZ_Alouatta_belzebul",-45.65,-1.35
"AMZ_Alouatta_belzebul",-45.960436,-2.049653
"AMZ_Alouatta_belzebul",-49.515608,-4.064065
"AMZ_Alouatta_belzebul",-46.33415,-3.70076
"MA_Alouatta_belzebul",-35.173752,-6.204797
"MA_Alouatta_belzebul",-35.057362,-6.304139
"MA_Alouatta_belzebul",-35.184519,-6.263276
"MA_Alouatta_belzebul",-35.09685,-6.269495
"MA_Alouatta_belzebul",-35.008411,-7.158954
"MA_Alouatta_belzebul",-35.186037,-7.072901
"MA_Alouatta_belzebul",-35.8726,-9.2144
"MA_Alouatta_belzebul",-35.067673,-7.025839
"MA_Alouatta_belzebul",-35.074156,-6.84747
"MA_Alouatta_belzebul",-35.034943,-7.024645
"MA_Alouatta_belzebul",-35.1583,-7.199035
"MA_Alouatta_belzebul",-35.016,-7.060939
"MA_Alouatta_belzebul",-35.01379,-6.816317
"MA_Alouatta_belzebul",-35.033518,-6.879644
"MA_Alouatta_belzebul",-35.073324,-6.919341
"MA_Alouatta_belzebul",-35.164083,-7.07566
"MA_Alouatta_belzebul",-35.080634,-7.153234
"MA_Alouatta_belzebul",-35.067943,-7.162164
"MA_Alouatta_belzebul",-35.082003,-7.186393
"MA_Alouatta_belzebul",-34.920461,-7.112546
"MA_Alouatta_belzebul",-35.036475,-7.089236
"MA_Alouatta_belzebul",-35.170389,-7.007891
"MA_Alouatta_belzebul",-35.074332,-7.055206
"MA_Alouatta_belzebul",-35.184317,-6.886546
"MA_Alouatta_belzebul",-34.976036,-6.819337
"MA_Alouatta_belzebul",-35.18748,-6.991012
"MA_Alouatta_belzebul",-34.988097,-7.077008
"MA_Alouatta_belzebul",-35.192874,-7.076636
"MA_Alouatta_belzebul",-34.896473,-7.099733
"MA_Alouatta_belzebul",-35.096292,-7.084872
"MA_Alouatta_belzebul",-35.034093,-6.983386
"MA_Alouatta_belzebul",-35.151565,-7.101107
"MA_Alouatta_belzebul",-35.169515,-7.03519
"MA_Alouatta_belzebul",-35.09485,-6.80685
"MA_Alouatta_belzebul",-35.037429,-7.105334
"MA_Alouatta_belzebul",-35.082805,-7.088253
"MA_Alouatta_belzebul",-35.059,-6.947034
"MA_Alouatta_belzebul",-35.164692,-7.166411
